starting_point,peak_point,finger
290618,290880,3
291337,291624,3
292178,292498,3
293733,294100,3
293776,294098,5
293810,294099,4
294380,294777,3
294415,294777,5
294419,294776,4
295175,295500,5
295176,295501,4
295199,295500,3
295938,296262,4
297449,297775,3
298257,298540,3
298933,299259,3
299655,299981,3
300541,300800,1
301288,301537,1
302017,302265,1
302776,303040,1
303660,304019,1
305453,305775,3
306184,306505,3
307058,307345,3
307779,308102,3
308575,308857,1
309419,309653,1
310142,310381,1
310858,311062,1
311582,311920,1
312298,312856,3
313222,313578,3
314090,314377,3
314817,315138,3
315574,315860,3
316293,316500,3
316738,317160,4
317576,317901,4
318302,318544,4
319056,319320,4
319817,320019,4
320503,320780,1
321420,321680,1
322222,322535,1
322981,323298,1
323618,323900,1
324103,324541,1
324776,324982,1
325221,325506,1
325653,325823,1
325982,326185,1
326416,326616,1
326739,326902,1
328697,328974,1
329774,330022,4
330375,330664,4
331135,331383,4
331778,332062,4
332458,332739,4
333334,333617,4
334098,334344,4
334817,335174,4
335579,335880,4
336453,336661,1
337180,337417,1
337984,338264,1
338858,339178,1
339777,340080,1
340659,340898,1
341537,341899,4
342372,342656,4
343103,343345,4
343656,343931,2
344334,344640,2
345089,345380,2
345819,346143,2
346617,347020,2
347499,347859,2
348332,348652,2
349375,349695,2
351933,352220,2
352857,353181,2
354097,354499,2
355559,355938,2
356456,356698,1
357222,357496,1
358089,358414,1
358943,359260,1
359857,360100,1
360534,360825,3
361418,361780,3
362255,362600,3
363135,363535,3
364131,364499,3
364856,365379,4
366020,366379,4
368014,368264,4
368776,369040,4
369498,369736,4
370134,370416,4
371009,371299,3
371858,372178,3
372879,373301,4
373733,374000,4
374492,374741,4
376119,376536,4
376580,377016,2
377293,377659,2
380619,381059,2
382096,382376,1
383058,383342,1
383894,384138,1
384519,385335,3
384719,385320,4
384933,385336,5
385621,386017,5
385625,386021,4
385693,386021,3
386422,386739,5
386452,386741,4
387260,387740,4
387294,387743,5
388619,389560,4
388624,389560,5
389099,389544,3
391459,391816,3
392519,393020,4
392734,393018,5
393300,393617,5
393301,393618,4
393452,393619,3
393937,394260,4
393937,394259,5
394059,394261,3
394621,395064,4
394639,395063,5
395479,395857,3
395497,395840,4
395500,395824,5
396220,396661,4
397919,398360,5
398817,399178,4
399778,400200,4
400657,400981,3
401421,401897,4
401497,401900,5
401959,402142,5
402458,402760,3
403214,403502,3
403879,404147,3
404544,405018,4
405379,405697,4
406135,406348,4
406852,407102,4
407575,407902,4
408218,408575,3
408893,409296,3
411781,411880,3
412697,412960,3
413657,413936,3
414456,414736,3
415336,415655,4
416181,416740,4
417141,417423,4
417854,418145,4
418178,418216,4
418653,418940,4
419337,419663,4
419980,420262,4
420621,420932,4
422054,422250,2
422657,422939,2
423413,423698,2
424135,424455,2
425136,425464,2
425541,425692,2
429414,429698,4
429933,430139,2
430607,430862,2
431376,431703,2
432176,432533,2
433257,433580,1
434179,434541,1
435377,435699,1
436344,436739,1
437501,437936,1
438218,438700,2
438735,439098,4
439537,439819,4
440299,440618,4
441173,441385,2
441933,442257,2
442698,443015,2
443479,443784,2
444255,444560,2
445055,445421,2
445975,446334,2
446737,447097,2
448933,449252,1
449943,450258,1
450860,451176,1
451820,452218,1
453770,454096,2
454568,454861,2
455340,455661,2
456140,456460,2
456900,457258,2
457719,458056,2
458532,458856,2
459255,459582,2
